Property_ID,Listing_Title,Property_Type,Listing_Type,Created,Scraped,Latitude,Longitude,City,Airbnb_PID,Airbnb_HID,HomeAway_PID,HomeAway_HID
ab-10080527,"Waterfront- 3m to Sandbanks, Farm Vacation",Apartment,Entire home/apt,2015-12-19,2018-10-21,43.92949556854522,-77.20552455345108,Prince Edward County,10080527,31851062,NA,NA
ab-10118083,Welcome to our charming County home on East Lake!,House,Entire home/apt,2015-12-21,2019-05-22,43.9355,-77.1582,Prince Edward County,10118083,26010342,NA,NA
ab-10211012,WATERFRONT/sandbanks /weekly rental,House,Entire home/apt,2015-12-26,2016-05-04,43.86634936540962,-77.23347370854476,Prince Edward County,10211012,39077706,NA,NA
ab-10242892,"Waterfront Cottage, Cherry Beach, Picton, PEC",Cottage,Entire home/apt,2015-12-28,2019-05-22,43.89436,-77.20916,Prince Edward County,10242892,52646252,NA,NA
ab-10272876,Private waterfront guest wing on Wellers Bay,House,Private room,2015-12-30,2017-11-12,44.01849536737583,-77.58475965443532,Prince Edward County,10272876,30547227,NA,NA
ab-10409571,Prince Edward County Retreat,House,Entire home/apt,2016-01-05,2017-05-14,44.00715468754878,-77.53906355143478,Prince Edward County,10409571,6108058,NA,NA
ab-10432630,Mellow Yellow Guest Suite,Apartment,Entire home/apt,2016-01-06,2018-03-25,44.009697271744344,-77.13242361687465,Prince Edward County,10432630,27160957,NA,NA
ab-10450017,Cedar Glen Cottage,Entire cabin,Entire home/apt,2016-01-07,2018-01-16,44.04389800102877,-77.08808161463584,Prince Edward County,10450017,53837496,NA,NA
ab-10616568,Sandbanks Summer Retreat,House,Entire home/apt,2016-01-14,2017-11-18,43.93201315446008,-77.27210597372537,Prince Edward County,10616568,25113233,NA,NA
ab-10625025,Arty 2BR House with Wow Views! A Perfect Getaway,House,Entire home/apt,2017-05-10,2019-05-22,43.93811,-77.15072,Prince Edward County,10625025,2770167,4733391,NA
ab-10655926,Sandbanks Family Beach Retreat,Cabin,Entire home/apt,2016-01-16,2016-01-25,43.90506494444894,-77.27978511930955,Prince Edward County,10655926,3432861,NA,NA
ab-10670856,Waterfront at Harbour Hills,House,Entire home/apt,2016-01-17,2019-05-20,44.11284,-77.46039,Prince Edward County,10670856,55119640,852466vb,NA
ab-10671531,The Beach Waupoos - Tree House - Sleeps 2,Guesthouse,Entire home/apt,2016-01-17,2018-11-09,44.004899263677,-76.99304516623663,Prince Edward County,10671531,12756321,NA,NA
