ab-7483110,Banff Canmore Alberta Canada Room S,Private room,Private room,3/14/18,4-1-18,,51.05378777,-115.1588104,Alberta,,,,,CAD,,,0,0,,0,,,,1,1,2,12/2/17,100,FALSE,,,160,200,16,20,12,,80,1794,561,After 2PM,10AM,28,1,4,TRUE,5,7483110,28838853,https://www.airbnb.com/rooms/7483110,https://a0.muscache.com/im/pictures/69487cd9-b643-4ec1-b912-b2c569a6b2c5.jpg?aki_policy=x_large,,,,
ab-19752664,Walk-Up Basement 3 Bedroom Suite on Way to Banff,Guest suite,Entire home/apt,7/6/17,5-21-19,Canada,51.10671,-114.16342,Alberta,Calgary,,,,CAD,115.7,150.74,22098,28791,0.572,125,191,143,0,3,2,9,5/13/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,11,15,114,3182,796,After 3PM,11AM,1,31,30,TRUE,4.5,19752664,122059646,https://www.airbnb.com/rooms/19752664,https://a0.muscache.com/im/pictures/eefdea83-f715-46ee-bf5b-7ac69f475320.jpg?aki_policy=x_large,,,,
ab-7509343,"2bedrooms:Airport,downtown,Banff,break fast",House,Private room,7/21/15,4-26-18,Canada,51.17971874,-114.1200836,Alberta,Calgary,,,,CAD,,,0,0,,0,,,,2,1,4,3/14/18,100,FALSE,,Strict,,,16,20,,,57,1247,353,Flexible,1PM,1,15,22,TRUE,4.2,7509343,37820837,https://www.airbnb.com/rooms/7509343,https://a0.muscache.com/im/pictures/03969031-a2f3-48cf-bf19-0819eb12f5d8.jpg?aki_policy=x_large,,,,
ab-7511951,Banff Canmore Alberta Canada Room B,Other,Private room,7/21/15,10-31-16,,51.05304161,-115.1591352,Alberta,,,,,CAD,,,0,0,,0,,,,1,2,2,10/31/16,100,FALSE,,Moderate,154,200,15,20,12,15,77,1154,308,Anytime after 2PM,10AM,2,3,5,TRUE,4.7,7511951,28838853,https://www.airbnb.com/rooms/7511951,https://a2.muscache.com/im/pictures/a5a91c49-8bde-4dfa-8460-4e3fa0a59a32.jpg,,,,
ab-16930625,Cozy Banff Gate two bedroom condo loft Getaway,Apartment,Entire home/apt,1/23/17,5-23-19,Canada,51.12678,-115.38703,Alberta,Canmore,,,,CAD,183.16,238.88,53116,69276,0.81,96,290,68,7,2,1.5,6,1/18/19,100,TRUE,,Strict - Free cancellation for 48 hours,381,500,69,90,,,358,8100,2025,After 4PM,11AM,2,126,19,TRUE,4.8,16930625,6066045,https://www.airbnb.com/rooms/16930625,https://a0.muscache.com/im/pictures/05582977-ec28-44cc-a143-0ec3867345b7.jpg?aki_policy=x_large,,,,
ab-10087042,BANFF 1 BEDROOM FULL CONDO SLEEPS 4,Condominium,Entire home/apt,12/19/15,5-25-19,Canada,51.06879,-115.35831,Alberta,Canmore,,,,USD,438,438,438,438,0.032,1,1,30,0,1,1,4,5/23/19,94,FALSE,,Strict - Free cancellation for 48 hours,,,99,99,,,438,9492,2373,After 4PM,12PM (noon),1,2,13,TRUE,3.5,10087042,12057949,https://www.airbnb.com/rooms/10087042,https://a0.muscache.com/im/pictures/a9590fd3-3bba-47c9-93ac-1b25bfc0bc86.jpg?aki_policy=x_large,,,,
ab-14742129,Inns of Banff,Bed & Breakfast,Private room,8/25/16,11-7-16,,51.18604323,-115.5561164,Alberta,,,,,CAD,,,0,0,,0,,,,1,1,4,8/25/16,,FALSE,,Flexible,,,,,,,181,5084,1271,Anytime after 3PM,,1,0,4,TRUE,,14742129,88712435,https://www.airbnb.com/rooms/14742129,https://a2.muscache.com/im/pictures/231c6bad-db66-4ded-90c5-64db9daf9f8c.jpg,,,,
ab-16944696,Beautiful Banff Bed & Breakfast,Bed and breakfast,Private room,1/24/17,5-24-19,,51.1672,-115.56975,Alberta,,,,,CAD,282.04,369.45,49075,64285,0.773,31,174,51,51,1,1,2,5/10/19,100,FALSE,,Strict - Free cancellation for 48 hours,,,,,,,289,8083,2021,4PM - 6PM,10AM,2,47,17,TRUE,5,16944696,62701274,https://www.airbnb.com/rooms/16944696,https://a0.muscache.com/im/pictures/add6ec03-0641-44d7-99ef-5f6e966d85e9.jpg?aki_policy=x_large,,,,
ab-11392573,WorldMark Canmore-Banff 1 Bedroom,Condominium,Entire home/apt,2/18/16,11-14-16,Canada,51.06906536,-115.356616,Alberta,Canmore,,,,USD,,,0,0,,0,,,,1,1,4,8/6/16,100,TRUE,,Strict,,,,,,,106,2971,743,Anytime after 4PM,12PM (noon),1,0,10,TRUE,,11392573,55037716,https://www.airbnb.com/rooms/11392573,https://a2.muscache.com/im/pictures/3aa5dcab-06d8-4e6b-9528-8d48e9899bf4.jpg,,,,
ab-10124648,1 BEDROOM SUITE SLEEPS 4 BANFF NICE,Condominium,Entire home/apt,12/21/15,5-23-19,Canada,51.06851,-115.35918,Alberta,Canmore,,,,USD,271.62,271.62,8692,8692,0.516,8,32,30,0,1,1,4,5/22/19,94,FALSE,,Strict - Free cancellation for 48 hours,,,99,99,,,328,6412,1603,After 4PM,12PM (noon),1,6,13,TRUE,4.5,10124648,12057949,https://www.airbnb.com/rooms/10124648,https://a0.muscache.com/im/pictures/e0d13b0a-ca12-4ab1-90f4-da2cdcf5ef95.jpg?aki_policy=x_large,,,,
