Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-7483110,Banff Canmore Alberta Canada Room S,Private room,Private room,3/14/18,2018-03-14,2004-01-18,2018-04-01,51.05378777,-115.1588104,7483110,28838853
ab-19752664,Walk-Up Basement 3 Bedroom Suite on Way to Banff,Guest suite,Entire home/apt,2007-06-17,2017-07-06,5-21-19,2019-05-21,51.10671,-114.16342,19752664,122059646
ab-7509343,"2bedrooms:Airport,downtown,Banff,break fast",House,Private room,7/21/15,2015-07-21,4-26-18,2018-04-26,51.17971874,-114.1200836,7509343,37820837
ab-7511951,Banff Canmore Alberta Canada Room B,Other,Private room,7/21/15,2015-07-21,10-31-16,2016-10-31,51.05304161,-115.1591352,7511951,28838853
ab-16930625,Cozy Banff Gate two bedroom condo loft Getaway,Apartment,Entire home/apt,1/23/17,2017-01-23,5-23-19,2019-05-23,51.12678,-115.38703,16930625,6066045
ab-10087042,BANFF 1 BEDROOM FULL CONDO SLEEPS 4,Condominium,Entire home/apt,12/19/15,2015-12-19,5-25-19,2019-05-25,51.06879,-115.35831,10087042,12057949
ab-14742129,Inns of Banff,Bed & Breakfast,Private room,8/25/16,2016-08-25,2011-07-16,2016-11-07,51.18604323,-115.5561164,14742129,88712435
ab-16944696,Beautiful Banff Bed & Breakfast,Bed and breakfast,Private room,1/24/17,2017-01-24,5-24-19,2019-05-24,51.1672,-115.56975,16944696,62701274
ab-11392573,WorldMark Canmore-Banff 1 Bedroom,Condominium,Entire home/apt,2/18/16,2016-02-18,11-14-16,2016-11-14,51.06906536,-115.356616,11392573,55037716
ab-10124648,1 BEDROOM SUITE SLEEPS 4 BANFF NICE,Condominium,Entire home/apt,12/21/15,2015-12-21,5-23-19,2019-05-23,51.06851,-115.35918,10124648,12057949
ab-10161927,PANORAMIC VIEW OF BANFF NATIONAL PARK,Apartment,Entire home/apt,12/24/15,2015-12-24,5-24-19,2019-05-24,51.09146,-115.35786,10161927,52161414
ab-3893015,"4 For CANMORE-BANFF, ALBERTA, CAN",Apartment,Entire home/apt,8/16/14,2014-08-16,5-22-19,2019-05-22,51.07114,-115.36111,3893015,85132
ab-16165563,"Spacious 2 BRM HSE, FREE Parking+WiFi + Banff Pass",Townhouse,Entire home/apt,11/27/16,2016-11-27,5-21-19,2019-05-21,51.03332,-114.19172,16165563,78516578
ab-14755790,Canmore-Banff 2BR #2 (FREE WiFi /FREE PARKING),Condominium,Entire home/apt,8/26/16,2016-08-26,2005-12-19,2019-05-12,51.06766,-115.35806,14755790,12613718
ab-14755953,Canmore-Banff Studio #4 (FREE WiFi /FREE PARKING),Condominium,Entire home/apt,8/26/16,2016-08-26,5-14-19,2019-05-14,51.06742,-115.35737,14755953,12613718
ab-14756281,Canmore-Banff Studio #5 (FREE WiFi /FREE PARKING),Condominium,Entire home/apt,8/26/16,2016-08-26,5-22-19,2019-05-22,51.06932,-115.35683,14756281,12613718
ab-11418797,One Bd Fabulous Mountainous Retreat -Banff Nat. Pk,Condominium,Entire home/apt,2/20/16,2016-02-20,5-19-19,2019-05-19,51.06974,-115.35834,11418797,5634859
ab-16177128,Banff Downtown 2 Bedroom Condo,Condominium,Entire home/apt,11/27/16,2016-11-27,10-24-17,2017-10-24,51.18274443,-115.5634977,16177128,65790915
ab-18633555,"2 Bedroom Condo, sleeps 6 in Banff Mountain Resort",Timeshare,Private room,2005-07-17,2017-05-07,2006-06-17,2017-06-06,51.18599968,-115.5562795,18633555,109846342
ab-257628,U of C/Banff Trail area - Private suite,Apartment,Entire home/apt,10/30/11,2011-10-30,5-24-19,2019-05-24,51.08156,-114.11866,257628,1355829
ab-2012421,Canada-Canmore-Banff Resort Studio Condo #1,Condominium,Entire home/apt,2012-01-13,2013-12-01,5-20-19,2019-05-20,51.06956,-115.3579,2012421,602654
ab-17855574,1 Bedroom Wilderness Banff Condo,Condominium,Entire home/apt,3/21/17,2017-03-21,10-24-17,2017-10-24,51.19934545,-115.5364461,17855574,65790915
ab-17856070,2 Bedroom Wilderness Banff Condo,Condominium,Entire home/apt,3/21/17,2017-03-21,10-24-17,2017-10-24,51.19918269,-115.5363188,17856070,65790915
ab-2023017,Canada-Canmore-Banff Resort Studio Condo #2,Condominium,Entire home/apt,2012-02-13,2013-12-02,5-20-19,2019-05-20,51.06921,-115.35999,2023017,602654
ab-2039081,Canada-Canmore-Banff Resort 1 Bd Condo #2,Condominium,Entire home/apt,2012-06-13,2013-12-06,5-20-19,2019-05-20,51.07016,-115.35895,2039081,602654
ab-2044350,Canada-Canmore-Banff Resort 1 Bdrm Hotel,Condominium,Entire home/apt,2012-07-13,2013-12-07,5-20-19,2019-05-20,51.06958,-115.35908,2044350,602654
ab-17866326,"WorldMark Canmore - Banff 1 bedroom, sleeps 4",Serviced apartment,Entire home/apt,3/21/17,2017-03-21,5-21-19,2019-05-21,51.06972,-115.35968,17866326,122138209
ab-8683619,Two-Bedroom Close to Banff - Sleeps 6 WorldMark,Serviced apartment,Entire home/apt,12/19/16,2016-12-19,5-21-19,2019-05-21,51.07003,-115.35761,8683619,10595328
ab-11491768,Great Mountain Getaway near Banff,Resort,Entire home/apt,2/23/16,2016-02-23,5-23-19,2019-05-23,51.04042,-115.26151,11491768,60505361
ab-2088868,Canada-Canmore-Banff Resort 1 Bd Condo #3,Condominium,Entire home/apt,12/18/13,2013-12-18,5-20-19,2019-05-20,51.06909,-115.35892,2088868,602654
ab-2094092,Canada-Canmore-Banff Resort 1 Bd Condo #4,Condominium,Entire home/apt,12/19/13,2013-12-19,5-20-19,2019-05-20,51.06941,-115.36034,2094092,602654
ab-2109231,Canada-Canmore-Banff Resort 1 Bd Condo #5,Condominium,Entire home/apt,12/23/13,2013-12-23,5-24-19,2019-05-24,51.06998,-115.35876,2109231,602654
ab-18655899,"WorldMark Banff: 1-BR, Sleeps 4, Full Kitchen.",Serviced apartment,Entire home/apt,2005-08-17,2017-05-08,3-25-19,2019-03-25,51.06957,-115.3606,18655899,27042710
ab-16986966,"Main Floor - West Calgary, on the way to Banff",House,Entire home/apt,1/27/17,2017-01-27,5-21-19,2019-05-21,51.08575,-114.19775,16986966,113733191
ab-10906875,"Banff Resort 2bedroom 2bath Feb 10-14, 2019",Serviced apartment,Entire home/apt,1/27/16,2016-01-27,5-22-19,2019-05-22,51.2005,-115.53494,10906875,13798379
