Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-9883804,SKI IN SKI OUT STUDIO SUITE,Apartment,Entire home/apt,12/7/15,2015-12-07,4-18-19,2019-04-18,44.51077,-80.32689,9883804,44119278
ab-152013,BLUE MOUNTAIN CHALET: MOUNTAIN VIEW,Chalet,Entire home/apt,6/22/11,2011-06-22,5-23-19,2019-05-23,44.51288,-80.31351,152013,731550
ab-9895250,Spectacular 5 Bed Blue Mountain  Chalet,Chalet,Entire home/apt,12/8/15,2015-12-08,5-22-19,2019-05-22,44.51015,-80.31526,9895250,19443535
ab-16923364,CONDO 408 SKI-IN/OUT RIGHT ON BLUE MOUNTAIN,Condominium,Entire home/apt,1/22/17,2017-01-22,4-8-17,2017-04-08,44.51143923,-80.32560287,16923364,112550859
ab-9950997,Four Season Condo at Blue Mountain,Condominium,Entire home/apt,12/11/15,2015-12-11,11-27-17,2017-11-27,44.50695438,-80.30795272,9950997,39476979
ab-19191388,Ski at Blue-Classic 4 bedroom Swiss Style 410284,Chalet,Entire home/apt,6/7/17,2017-06-07,11-25-18,2018-11-25,44.51289829,-80.31510641,19191388,100353427
ab-16927100,"Cottage at Blue Mountain, Private Beach, Hot Tub",Chalet,Entire home/apt,1/23/17,2017-01-23,5-21-19,2019-05-21,44.51421,-80.31693,16927100,113077012
ab-19193146,Classic 4 Bedroom with Sauna 410286,Chalet,Entire home/apt,6/7/17,2017-06-07,9-21-18,2018-09-21,44.51439734,-80.31568842,19193146,100353427
ab-8614837,Cozy B&B Mini Home,Guesthouse,Entire home/apt,9/27/15,2015-09-27,1-28-19,2019-01-28,44.54603182,-80.46719363,8614837,28217556
ab-6539910,5 Bed Blue Mountain Rental #210,Apartment,Entire home/apt,9/11/17,2017-09-11,10-15-18,2018-10-15,44.51257219,-80.31994318,6539910,19443535
ab-17827014,SWISS CHALET IN BLUE MOUNTAIN,Cabin,Entire home/apt,3/19/17,2017-03-19,4-8-19,2019-04-08,44.51559,-80.30912,17827014,119837620
ab-9997615,Tiny House on the Beaver River,Tiny house,Entire home/apt,12/14/15,2015-12-14,11-7-18,2018-11-07,44.49822928,-80.49293751,9997615,8025587
ab-6540514,9 Bedroom Blue Mountain Luxury Rental,Chalet,Entire home/apt,5/23/15,2015-05-23,5-22-19,2019-05-22,44.51151,-80.31774,6540514,19443535
ab-18612408,Private Room and Bath in my home at Blue Mountain,Private room in townhouse,Private room,5/5/17,2017-05-05,2-12-18,2018-02-12,44.51128082,-80.313687,18612408,129112327
ab-19762025,Thornbury Cottage,Entire cabin,Entire home/apt,7/7/17,2017-07-07,1-26-18,2018-01-26,44.57482838,-80.47200447,19762025,139456293
ab-16148446,Rent Chalets at Blue Mountain,Chalet,Entire home/apt,11/25/16,2016-11-25,1-9-17,2017-01-09,44.50392843,-80.30369009,16148446,105387006
ab-10084098,Luxury Modern Guest House with Swimming Pool,Chalet,Entire home/apt,12/19/15,2015-12-19,9-25-17,2017-09-25,44.52145801,-80.46593076,10084098,30095197
ab-16941608,Blue Mountain Chalet Across from Blue Mountain Inn,Chalet,Entire home/apt,1/24/17,2017-01-24,9-8-17,2017-09-08,44.50923394,-80.32111572,16941608,113235452
ab-10106245,Amazing Blue Mountain Chalet 3bdr,Cabin,Entire home/apt,12/20/15,2015-12-20,8-6-17,2017-08-06,44.52196671,-80.3345997,10106245,51863459
ab-11395612,Clean Luxury Chalet with Karaoke,Townhouse,Entire home/apt,2/19/16,2016-02-19,5-23-19,2019-05-23,44.50545,-80.30942,11395612,52429717
ab-16946055,Chalet on Birchview,Chalet,Entire home/apt,1/24/17,2017-01-24,5-21-18,2018-05-21,44.51603135,-80.30953144,16946055,113287910
ab-16157220,6 BR Chalet in Blue w/ Private Golf Green!!,Chalet,Entire home/apt,11/26/16,2016-11-26,5-21-19,2019-05-21,44.50277,-80.33149,16157220,68142315
ab-13397861,Oasis in the Mountains,Condominium,Entire home/apt,6/6/16,2016-06-06,5-21-19,2019-05-21,44.51266,-80.3252,13397861,76229258
ab-10205266,Luxury Chalet w Hot tub & Sauna - Long-term rental,Cabin,Entire home/apt,5/24/17,2017-05-24,8-6-17,2017-08-06,44.49352932,-80.29808513,10205266,52429717
ab-16159347,Unique Blue Mountain Getaway-Long weekend special,Apartment,Entire home/apt,11/26/16,2016-11-26,5-21-19,2019-05-21,44.51672,-80.32446,16159347,57125206
ab-10268796,6 Bed Blue Mountain Rental with Hot Tub Sleeps 16,Apartment,Entire home/apt,12/30/15,2015-12-30,3-10-19,2019-03-10,44.51471,-80.30874,10268796,19443535
ab-10280070,Blue Mountain/Monthly or Seasonal,Cabin,Entire home/apt,5/24/17,2017-05-24,5-24-19,2019-05-24,44.50417,-80.30807,10280070,47827112
ab-13406910,2 Bedroom Condo Snowbridge 187228,Condominium,Entire home/apt,6/7/16,2016-06-07,5-24-19,2019-05-24,44.50666,-80.30078,13406910,36440104
ab-10298047,"Blue Haven Chalet, Blue Mountain",Entire chalet,Entire home/apt,1/1/16,2016-01-01,1-6-18,2018-01-06,44.51064346,-80.32769489,10298047,20747838
ab-13407191,3 Bedroom Condo - 153321,Condominium,Entire home/apt,12/19/16,2016-12-19,5-23-19,2019-05-23,44.50812,-80.29917,13407191,36440104
ab-13407192,2 Bedroom condo Snowbridge 187232,Condominium,Entire home/apt,6/7/16,2016-06-07,5-21-19,2019-05-21,44.50806,-80.30026,13407192,36440104
ab-13407857,Two Bedroom Condo - 131229,Condominium,Entire home/apt,12/19/16,2016-12-19,5-23-19,2019-05-23,44.50838,-80.29987,13407857,36440104
ab-13407884,2 Bedroom condo Rivergrass 177234,Condominium,Entire home/apt,6/7/16,2016-06-07,5-23-19,2019-05-23,44.50484,-80.30767,13407884,36440104
ab-5334477,Blue mountain Village ,Apartment,Entire home/apt,2/10/15,2015-02-10,5-20-19,2019-05-20,44.50452,-80.31421,5334477,27645090
ab-14756042,Blue Mountain (1 Bdrm) / North Creek Resort,Resort,Private room,8/26/16,2016-08-26,5-24-19,2019-05-24,44.5131,-80.3253,14756042,47289836
ab-8630084,The Church in Duncan Ontario,Chalet,Entire home/apt,9/28/15,2015-09-28,5-21-19,2019-05-21,44.42069,-80.47529,8630084,39851744
ab-16170650,Cozy Luxurious Blue Mountain Retreat,Loft,Entire home/apt,11/27/16,2016-11-27,5-23-19,2019-05-23,44.51305,-80.32504,16170650,57125206
ab-12674285,Blue Mountain's MOST luxurious,House,Entire home/apt,4/24/16,2016-04-24,5-22-19,2019-05-22,44.5293,-80.35618,12674285,39217642
ab-16176062,"Blue Mountain, Rivergrass Condo - Year Round!",Chalet,Entire home/apt,11/27/16,2016-11-27,5-22-19,2019-05-22,44.50647,-80.3092,16176062,105608117
ab-10356456,Ski Chalet Located at the Top of Blue Mountain,Chalet,Entire home/apt,1/3/16,2016-01-03,5-24-19,2019-05-24,44.50439,-80.3325,10356456,53301995
ab-8647948,Blue Mountain Chalet 7 bedrooms (hot tub and wifi),Cabin,Entire home/apt,9/29/15,2015-09-29,4-14-18,2018-04-14,44.51422505,-80.31320791,8647948,30018833
ab-12686317,"3 Bedroom Great Location to Village, Golf & Spa",Townhouse,Entire home/apt,4/25/16,2016-04-25,5-23-19,2019-05-23,44.50632,-80.30736,12686317,7858342
ab-12701302,Unique 6 Bedroom Chalet Located in Blue Mountain,Chalet,Entire home/apt,4/25/16,2016-04-25,5-25-19,2019-05-25,44.50185,-80.33273,12701302,68142315
ab-8667457,Rustic Farmhouse Suite,House,Private room,10/1/15,2015-10-01,5-23-19,2019-05-23,44.46597,-80.444,8667457,45484375
ab-10576563,Georgian Bayside Chalet.,Chalet,Private room,1/13/16,2016-01-13,9-21-16,2016-09-21,44.53581242,-80.3558379,10576563,54561976
ab-11468812,1 Bedroom Condo 9305,Condominium,Entire home/apt,2/22/16,2016-02-22,11-5-17,2017-11-05,44.51194839,-80.32357294,11468812,36440104
ab-10674491,3 bedroom Snowbridge 7334,Apartment,Entire home/apt,1/17/16,2016-01-17,12-23-16,2016-12-23,44.50850128,-80.30063073,10674491,36440104
ab-10679748,"King Bed or Twin Beds, Private Bath, Thornbury",House,Private room,1/17/16,2016-01-17,1-29-19,2019-01-29,44.53656842,-80.44981386,10679748,13815370
ab-14787960,Georgian bay waterfront house,House,Entire home/apt,4/15/19,2019-04-15,5-24-19,2019-05-24,44.52637,-80.32455,14787960,64418286
ab-15468965,Hillside Cabin Retreat,Chalet,Entire home/apt,10/10/16,2016-10-10,5-17-17,2017-05-17,44.46351751,-80.28457776,15468965,56639346
ab-8686957,Craigleith Ski Chalet,House,Entire home/apt,3/5/19,2019-03-05,5-23-19,2019-05-23,44.52196,-80.3151,8686957,45612976
ab-10765511,One bedroom Cachet Crossing: 1123,Apartment,Entire home/apt,1/21/16,2016-01-21,5-1-18,2018-05-01,44.50295723,-80.31326777,10765511,36440104
ab-10766925,3 Bedroom: Cachet Crossing: 1341,Apartment,Entire home/apt,1/21/16,2016-01-21,11-5-17,2017-11-05,44.50289669,-80.31452661,10766925,36440104
ab-2069830,Blue Mountains Chalet - Settler's Way,Townhouse,Entire home/apt,12/13/13,2013-12-13,5-23-19,2019-05-23,44.51063,-80.31491,2069830,10584377
ab-11486033,1 bedroom Studio 119107,Condominium,Entire home/apt,2/23/16,2016-02-23,5-25-19,2019-05-25,44.51324,-80.323,11486033,36440104
ab-10825654,"2 bedroom, 6 people, Thornbury, ON",Apartment,Entire home/apt,1/23/16,2016-01-23,5-22-19,2019-05-22,44.56347,-80.45047,10825654,56053902
ab-15479127,Chalito Blue Mountain,Chalet,Entire home/apt,5/24/17,2017-05-24,3-6-19,2019-03-06,44.49992,-80.335,15479127,91027712
ab-10863518,Cozy 4-Season Chalet On Blue Mtn. Monthly Rental.,Chalet,Entire home/apt,5/24/17,2017-05-24,5-24-19,2019-05-24,44.50085,-80.3302,10863518,29830134
ab-376396,"Bed/shower in The Blue Mountains (Thornbury), Ont.",Condominium,Private room,3/8/12,2012-03-08,4-18-19,2019-04-18,44.56233,-80.46065,376396,1892554
ab-10881179,Prestigious Life Steps From Slopes,Chalet,Entire home/apt,1/26/16,2016-01-26,1-21-19,2019-01-21,44.50787456,-80.31770255,10881179,36823972
ab-16992158,"House in Thornbury, Blue Mountain's",House,Entire home/apt,1/27/17,2017-01-27,2-16-19,2019-02-16,44.55782355,-80.45561721,16992158,24407209
ab-8721427,Cozy & Stylish Chalet at Blue mtn,House,Private room,10/3/15,2015-10-03,4-17-19,2019-04-17,44.51045,-80.31298,8721427,17124414
ab-8722014,Cozy stylish chalet base of Blue Mt,Private room in house,Private room,10/3/15,2015-10-03,1-15-18,2018-01-15,44.51199708,-80.31114158,8722014,17124414
ab-14088435,1 bedroom condo in Blue Mountain,Apartment,Entire home/apt,7/19/16,2016-07-19,5-24-19,2019-05-24,44.53452,-80.3421,14088435,84728423
ab-10982625,3 Bedroom Rivergrass: 177332,Condominium,Entire home/apt,1/30/16,2016-01-30,5-22-19,2019-05-22,44.50743,-80.30744,10982625,36440104
ab-5440660,7 Bed Blue Mountain Ski Chalet Sleeps 18,Chalet,Entire home/apt,2/22/15,2015-02-22,5-25-19,2019-05-25,44.51488,-80.31334,5440660,19443535
ab-19822962,Modern Family Chalet,Chalet,Entire home/apt,7/10/17,2017-07-10,3-11-19,2019-03-11,44.52391,-80.33693,19822962,32654490
ab-403937,128 BIRCHVIEW TRAIL BLUE MOUNTAIN,Chalet,Entire home/apt,3/26/12,2012-03-26,5-23-19,2019-05-23,44.51567,-80.31081,403937,2014526
ab-11038933,3 Bedroom Mountain Walk: 2326,Apartment,Entire home/apt,2/2/16,2016-02-02,5-17-18,2018-05-17,44.50485599,-80.31317843,11038933,36440104
ab-11551226,"â­Kickback 38R-Hot Tub, Great Reviews+Near Village",Chalet,Entire home/apt,2/26/16,2016-02-26,5-24-19,2019-05-24,44.51379,-80.31334,11551226,49833062
ab-428189,"Claire Glen, Blue Mountains- Sleeps 16",Chalet,Entire home/apt,4/11/12,2012-04-11,5-23-19,2019-05-23,44.49328,-80.30069,428189,2014526
ab-11560323,1 bedroom condo 119205,Condominium,Entire home/apt,2/26/16,2016-02-26,5-20-19,2019-05-20,44.51271,-80.32482,11560323,36440104
ab-16230348,Ski-in / Ski-out 2 Story Chalet,Chalet,Entire home/apt,12/1/16,2016-12-01,4-7-18,2018-04-07,44.51325372,-80.32675026,16230348,106066892
ab-18673410,Relax and unwind at this private retreat,Chalet,Entire home/apt,9/8/17,2017-09-08,5-26-18,2018-05-26,44.49322099,-80.29527653,18673410,128371697
ab-19842962,Blue Mountain Collingwood - Liisa's Place,Chalet,Entire home/apt,7/11/17,2017-07-11,5-25-19,2019-05-25,44.51263,-80.31,19842962,114634009
ab-17026796,"WALK TO THE ""VILLAGE AT BLUE"" 2",Chalet,Entire home/apt,1/29/17,2017-01-29,5-23-19,2019-05-23,44.50094,-80.30174,17026796,107718337
ab-8785602,6 BEDROOM CHALET AT THE TOP OF BLUE MOUNTAIN,Chalet,Entire home/apt,3/16/17,2017-03-16,5-24-19,2019-05-24,44.49963,-80.33402,8785602,46049233
ab-8785613,Classic 6 Bedroom Chalet  top of Blue  w/ hot tub,House,Entire home/apt,10/7/15,2015-10-07,5-24-19,2019-05-24,44.50219,-80.33706,8785613,46049233
ab-11321703,â­Kickback 38C Near Village+Hot Tub w/Gazebo,Cabin,Entire home/apt,2/15/16,2016-02-15,5-21-19,2019-05-21,44.51303,-80.31108,11321703,49833062
ab-13466598,"Heart of Thornbury!
Luxury Euro Loft wJacuzzi!",Apartment,Entire home/apt,6/11/16,2016-06-11,10-10-17,2017-10-10,44.56071052,-80.45283179,13466598,67224397
ab-12796075,Cozy Studio ON Blue Mountain!,Condominium,Entire home/apt,5/1/16,2016-05-01,5-24-19,2019-05-24,44.51089,-80.32512,12796075,46668705
ab-4052248,7 Bedroom  Tyrolean Ski Chalet (Sleeps 18 ),Chalet,Entire home/apt,9/3/14,2014-09-03,5-21-19,2019-05-21,44.51254,-80.31274,4052248,19443535
ab-8806451,3 Bed Blue Mountain Rental,Bungalow,Entire home/apt,10/8/15,2015-10-08,5-21-19,2019-05-21,44.51599,-80.31314,8806451,19443535
ab-12804193,Affordable Blue Mountain Cottage,Cabin,Entire home/apt,5/1/16,2016-05-01,10-12-16,2016-10-12,44.48158002,-80.28194256,12804193,865880
ab-12804940,Affordable Blue Mountain Chalet,Cabin,Entire home/apt,5/1/16,2016-05-01,10-12-16,2016-10-12,44.48210251,-80.28193968,12804940,865880
ab-19848174,3 Settlers- Lovely guest home in Blue Mountain,Townhouse,Entire home/apt,7/11/17,2017-07-11,5-23-19,2019-05-23,44.5099,-80.31757,19848174,139102275
ab-4066304,4 Bed Blue Mountain Loft #B1,Apartment,Entire home/apt,10/3/17,2017-10-03,10-31-17,2017-10-31,44.51237251,-80.32406989,4066304,19443535
ab-11591373,Blue Mountains 3bdrm Lake House on Georgian Bay,Cabin,Entire home/apt,2/28/16,2016-02-28,8-29-18,2018-08-29,44.5839876,-80.48749344,11591373,35912789
ab-2339811,Cozy townhouse near Blue Mountain Village.,Townhouse,Entire home/apt,7/11/17,2017-07-11,5-22-19,2019-05-22,44.50893,-80.3121,2339811,9806652
ab-11598118,Studio Loft Mountain Springs 9514,Condominium,Entire home/apt,2/28/16,2016-02-28,5-15-17,2017-05-15,44.51302044,-80.32371731,11598118,36440104
ab-11599584,Two bedroom Rivergrass 7216,Condominium,Entire home/apt,2/28/16,2016-02-28,10-28-17,2017-10-28,44.50557546,-80.30760331,11599584,36440104
ab-11599765,Two bedroom condo Rivergrass 177237,Condominium,Entire home/apt,2/28/16,2016-02-28,5-24-19,2019-05-24,44.507,-80.30846,11599765,36440104
ab-5544147,3 Bed Blue Mountain Slopeside Condo Sleeps 8,Apartment,Entire home/apt,3/5/19,2019-03-05,5-23-19,2019-05-23,44.5143,-80.31827,5544147,19443535
ab-5544651,3 Bed Bed Mountain Condo Sleeps 8,Condominium,Entire home/apt,3/5/19,2019-03-05,5-23-19,2019-05-23,44.51204,-80.31734,5544651,19443535
ab-16251760,Aspen Lodge Bed & Breakfast 3,Private room in bed and breakfast,Private room,12/3/16,2016-12-03,2-15-18,2018-02-15,44.51176215,-80.32118623,16251760,94516673
ab-12812979,Thornbury Cottage on Georgian Bay,Cabin,Entire home/apt,5/24/17,2017-05-24,5-25-19,2019-05-25,44.57298,-80.46509,12812979,69870190
ab-11616248,3 bedroom Snowbridge 187338,Condominium,Entire home/apt,3/1/16,2016-03-01,5-22-19,2019-05-22,44.50725,-80.29888,11616248,36440104
ab-14125138,"New modern home , clean amenities",House,Private room,7/21/16,2016-07-21,11-1-16,2016-11-01,44.55964737,-80.44314054,14125138,75170623
ab-16254943,'Base Camp at Blue' Mountainside Retreat,Guest suite,Entire home/apt,12/3/16,2016-12-03,5-24-19,2019-05-24,44.50233,-80.30953,16254943,1932155
ab-19872810,Luxury condo located in Blue Mountain,Townhouse,Entire home/apt,10/1/17,2017-10-01,5-24-19,2019-05-24,44.5063,-80.30855,19872810,140598425
ab-532676,MOUNTAIN VIEW 1 COTTAGE SLEEPS 20,Chalet,Entire home/apt,6/11/12,2012-06-11,5-24-19,2019-05-24,44.51282,-80.316,532676,2014526
ab-14127750,Luxury cottage steps to Alpine,House,Entire home/apt,7/21/16,2016-07-21,10-3-16,2016-10-03,44.52616761,-80.34519014,14127750,36300139
ab-17083972,2 Bedroom Rivergrass condo 7250,Condominium,Entire home/apt,2/2/17,2017-02-02,11-14-17,2017-11-14,44.50836532,-80.30693204,17083972,36440104
ab-17084514,3 Bedroom Rivergrass condo 177326,Condominium,Entire home/apt,2/2/17,2017-02-02,5-25-19,2019-05-25,44.50639,-80.30931,17084514,36440104
ab-16260174,BLUE MOUNTAIN GETAWAY - Unit with village access,Condominium,Entire home/apt,12/4/16,2016-12-04,5-23-19,2019-05-23,44.50795,-80.29921,16260174,106331577
ab-14855912,Blue Mountain Chalet Available for Ski Season,Chalet,Entire home/apt,5/24/17,2017-05-24,4-5-18,2018-04-05,44.53680497,-80.36090599,14855912,93016312
ab-5582356,TOP OF BLUE MOUNTAIN CHALET,Chalet,Entire home/apt,3/7/15,2015-03-07,3-31-17,2017-03-31,44.50134412,-80.33355322,5582356,1488035
ab-17097008,Lofted Rustic Condo with King Bed @ Blue Mountain,Condominium,Entire home/apt,2/3/17,2017-02-03,5-23-19,2019-05-23,44.51152,-80.32375,17097008,105322509
ab-19883035,Blue Mountain Rental - 3 bedroom 4 bath,Townhouse,Entire home/apt,7/13/17,2017-07-13,6-29-18,2018-06-29,44.50993268,-80.31405122,19883035,19443535
ab-2419467,Beautiful Cottage at Blue Mountain,House,Entire home/apt,2/17/14,2014-02-17,10-19-16,2016-10-19,44.4929104,-80.29591457,2419467,9196860
ab-7679243,Blue Mountain- Condo Loft Getaway,Townhouse,Entire home/apt,9/11/17,2017-09-11,5-22-19,2019-05-22,44.51138,-80.32477,7679243,40327305
ab-7679395,Blue Mountain Getaway! Fall Special,Loft,Entire home/apt,7/30/15,2015-07-30,2-9-17,2017-02-09,44.51257399,-80.32492881,7679395,40328355
ab-8867456,Seasonal Rental @ foot Blue Mnt,House,Entire home/apt,5/24/17,2017-05-24,5-21-19,2019-05-21,44.51072,-80.31291,8867456,46414248
ab-19888928,Blue Mountain 2 Bedroom Chateau Ridge Condo,Condominium,Entire home/apt,7/13/17,2017-07-13,10-15-17,2017-10-15,44.50679527,-80.31974558,19888928,129915947
ab-7688506,Blue Mountain Getaway,Apartment,Entire home/apt,7/30/15,2015-07-30,7-25-17,2017-07-25,44.51165604,-80.32525668,7688506,40378701
ab-11643555,3 bedroom Wintergreen 153339,Condominium,Entire home/apt,3/2/16,2016-03-02,5-24-19,2019-05-24,44.50625,-80.31024,11643555,36440104
ab-11644967,3 bedroom Wintergreen 153315,Condominium,Entire home/apt,3/2/16,2016-03-02,5-23-19,2019-05-23,44.50559,-80.31179,11644967,36440104
ab-11645121,3 bedroom Wintergreen 3317,Entire condominium,Entire home/apt,3/2/16,2016-03-02,1-28-18,2018-01-28,44.50586112,-80.30975016,11645121,36440104
ab-8885923,Rustic Log Cabin in the Mountains,Chalet,Entire home/apt,10/12/15,2015-10-12,12-11-18,2018-12-11,44.53489023,-80.36253523,8885923,46493581
ab-8889861,Blue Mountains Luxury Chalet,House,Entire home/apt,10/13/15,2015-10-13,5-21-19,2019-05-21,44.52639,-80.33402,8889861,45954285
ab-15545710,Ski Getaway in Rustic Chalet!,Chalet,Private room,10/15/16,2016-10-15,12-2-16,2016-12-02,44.53637958,-80.35530584,15545710,54561976
ab-15547253,Ski Getaway shared room in Rustic Chalet,Chalet,Shared room,10/15/16,2016-10-15,12-2-16,2016-12-02,44.53647317,-80.35626008,15547253,54561976
ab-16303242,2 bed. Timeshare Suite in Blue Mountain,Resort,Entire home/apt,12/7/16,2016-12-07,5-21-19,2019-05-21,44.5658,-80.4506,16303242,37724363
ab-5658079,Bachelorette Getaways Blue Mountain,House,Entire home/apt,3/14/15,2015-03-14,5-9-19,2019-05-09,44.514,-80.31668,5658079,19443535
ab-17138763,Large Chalet walking distance to village!,Chalet,Entire home/apt,2/5/17,2017-02-05,5-21-19,2019-05-21,44.51386,-80.31269,17138763,113287910
ab-19913035,Luxury Studio Getaway at Blue Mountains!!,Condominium,Entire home/apt,7/15/17,2017-07-15,5-22-19,2019-05-22,44.51097,-80.32391,19913035,56261328
ab-11661776,3 bedroom Wintergreen 153312,Condominium,Entire home/apt,3/3/16,2016-03-03,5-24-19,2019-05-24,44.50681,-80.30944,11661776,36440104
ab-11662001,2 bedroom Chateau Ridge 128229,Condominium,Entire home/apt,3/3/16,2016-03-03,5-21-19,2019-05-21,44.50678,-80.31956,11662001,36440104
ab-11662879,2 Bedroom in Chateau Ridge 128211,Condominium,Entire home/apt,3/3/16,2016-03-03,5-24-19,2019-05-24,44.50733,-80.31902,11662879,36440104
ab-18718446,NEW renovated Swiss style chalet (L),House,Entire home/apt,5/11/17,2017-05-11,5-22-19,2019-05-22,44.51491,-80.31565,18718446,113287910
ab-14150425,Blue Mountain Village,Other,Private room,7/22/16,2016-07-22,7-26-16,2016-07-26,44.50427871,-80.31162782,14150425,83107483
ab-18021213,Log Cabin on Georgian Bay,Cabin,Entire home/apt,4/1/17,2017-04-01,5-21-19,2019-05-21,44.53708,-80.39001,18021213,387351
ab-16334870,8 bedroom Chalet in Blue Mountain-1,Chalet,Entire home/apt,12/10/16,2016-12-10,9-17-17,2017-09-17,44.51316738,-80.31215415,16334870,79267023
ab-11683800,2 bedroom Chateau Ridge 128222,Condominium,Entire home/apt,3/4/16,2016-03-04,5-22-19,2019-05-22,44.50878,-80.31949,11683800,36440104
ab-11684021,3 Bedroom Wintergreen 3321,Condominium,Entire home/apt,3/4/16,2016-03-04,10-30-17,2017-10-30,44.50697164,-80.30957171,11684021,36440104
ab-11684713,3 Bedroom Chateau Ridge 1321,Condominium,Entire home/apt,3/4/16,2016-03-04,9-21-17,2017-09-21,44.50298949,-80.31342707,11684713,36440104
ab-11685206,3 Bedroom Prestige 142330,Condominium,Entire home/apt,3/4/16,2016-03-04,9-24-18,2018-09-24,44.50408946,-80.313934,11685206,36440104
ab-11685524,3 Bedroom prestige 142345,Condominium,Entire home/apt,3/4/16,2016-03-04,5-21-19,2019-05-21,44.50391,-80.31344,11685524,36440104
