Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-45740,Tremblant Resort Lodging,Apartment,Entire home/apt,8/17/10,2010-08-17,5-22-19,2019-05-22,46.20586971,-74.58187844,45740,203458
ab-9879675,Amazing luxurious chalet,House,Entire home/apt,12/7/15,2015-12-07,8-23-18,2018-08-23,46.2022572,-74.5843096,9879675,48333810
ab-12601933,MONT TREMBLANT CHALET BORD DE L'EAU,Chalet,Entire home/apt,4/21/16,2016-04-21,4-20-17,2017-04-20,46.17572859,-74.52681845,12601933,35066101
ab-9900190,Amazing 2 or 3 BDR condo right in the village !,Condominium,Entire home/apt,12/8/15,2015-12-08,5-23-19,2019-05-23,46.20249,-74.58323,9900190,48333810
ab-164726,Beautiful condo in the Old Village,Condominium,Entire home/apt,7/6/11,2011-07-06,5-21-19,2019-05-21,46.19852,-74.61824,164726,785475
ab-9902796,Embarcâ„¢ Tremblant - NEW YEAR'S wk - 6 nights avail,Condominium,Entire home/apt,12/8/15,2015-12-08,5-22-19,2019-05-22,46.20695,-74.59663,9902796,20024950
ab-9903681,"Dec 27-Jan 2, 2019  NEW YEAR'S. LAST ONE LEFT!!",Serviced apartment,Entire home/apt,12/8/15,2015-12-08,5-24-19,2019-05-24,46.20718,-74.59564,9903681,20024950
ab-14720807,3-1/2 entiÃ¨rement meublÃ©s,Apartment,Entire home/apt,9/19/17,2017-09-19,9-19-17,2017-09-19,46.14036996,-74.58788369,14720807,49322581
ab-9942888,Chalet des Amis,House,Entire home/apt,12/11/15,2015-12-11,5-22-19,2019-05-22,46.12235,-74.63628,9942888,51098499
ab-9951777,Greatest view of Mont Tremblant,Apartment,Entire home/apt,12/11/15,2015-12-11,6-11-17,2017-06-11,46.20745099,-74.5983204,9951777,51141070
ab-184640,Tremblant Slopeside - Lake View ,House,Entire home/apt,7/28/11,2011-07-28,5-24-19,2019-05-24,46.20595213,-74.58100363,184640,203458
ab-9977251,Casa Tremblant: Vacation Home,Chalet,Entire home/apt,4/21/18,2018-04-21,5-24-19,2019-05-24,46.14567,-74.59888,9977251,51267778
ab-17826339,Mountain Side - Ski In Ski Out,Serviced apartment,Private room,3/19/17,2017-03-19,5-21-19,2019-05-21,46.2156,-74.58499,17826339,114520704
ab-9989048,Joli et coquet chalet,Chalet,Entire home/apt,12/13/15,2015-12-13,9-27-16,2016-09-27,46.2202728,-74.61769727,9989048,20515920
ab-9989864,Beautiful Chalet Mont-Tremblant,Chalet,Entire home/apt,12/13/15,2015-12-13,3-6-17,2017-03-06,46.1883228,-74.63235602,9989864,18150134
