CGNDB ID,Geographical Name,Generic Term,Generic Category,Concise Code,Latitude,Longitude,Location,Province - Territory,Relevance at Scale
FACDW,Albury,Dispersed Rural Community,Populated Place,UNP,44.07926,-77.52821,Prince Edward,Ontario,250000
FACOX,Allisonville,Dispersed Rural Community,Populated Place,UNP,44.0298,-77.3676,Prince Edward,Ontario,250000
FACTY,Ameliasburg,Compact Rural Community,Populated Place,UNP,44.05912,-77.43485,Prince Edward,Ontario,1000000
FACTZ,Ameliasburg Mill Pond,Pond,Water Feature,LAKE,44.0625,-77.4333333,Prince Edward,Ontario,50000
FCXKM,Ameliasburgh,Geographic Township,Administrative Area,GEOG,44.0419445,-77.38,Prince Edward,Ontario,50000
FADBJ,Anderson Shoal,Shoal,Terrain Feature,SHL,44.1269444,-77.4244445,Prince Edward,Ontario,50000
FAEAB,Athol,Dispersed Rural Community,Populated Place,UNP,43.92184,-77.2296,Prince Edward,Ontario,250000
FAEAD,Athol Bay,Bay,Water Feature,BAY,43.8872222,-77.2463889,Prince Edward,Ontario,1000000
FAEKX,Bald Head,Head,Terrain Feature,CAPE,44.0083333,-77.6116667,Prince Edward,Ontario,50000
FAEKZ,Bald Head Beach,Beach,Terrain Feature,BCH,43.9961111,-77.59,Prince Edward,Ontario,50000
FAJTN,Bald Head Island,Island,Terrain Feature,ISL,44.005,-77.6030555,Prince Edward,Ontario,250000
FDGMM,Bald Island,Island,Terrain Feature,ISL,44.0163889,-77.5980556,Prince Edward,Ontario,50000
FAFCO,Barnhart Island,Island,Terrain Feature,ISL,44.086198,-77.253165,Prince Edward,Ontario,50000
FAGOW,Becroft Point,Point,Terrain Feature,CAPE,44.00041,-77.59558,Prince Edward,Ontario,50000
FAHNJ,Bethel,Dispersed Rural Community,Populated Place,UNP,44.05764,-77.21033,Prince Edward,Ontario,250000
FAHNO,Bethesda,Dispersed Rural Community,Populated Place,UNP,44.11633,-77.13431,Prince Edward,Ontario,250000
FAIAT,Big Island,Island,Terrain Feature,ISL,44.118358,-77.246097,Prince Edward,Ontario,1000000
FAIBJ,Big Island Shoal,Shoal,Terrain Feature,SHL,44.1283333,-77.2775,Prince Edward,Ontario,50000
FAIHB,Big Sand Bay,Bay,Water Feature,BAY,43.92097,-76.92937,Prince Edward,Ontario,250000
FAHWW,Bigelow Island,Island,Terrain Feature,ISL,44.005318,-77.534066,Prince Edward,Ontario,50000
FAJGU,Black Creek,Dispersed Rural Community,Populated Place,UNP,43.96792,-77.03053,Prince Edward,Ontario,250000
FAJHC,Black Creek,Creek,Water Feature,RIV,43.965445,-77.021269,Prince Edward,Ontario,250000
FAJZY,Bloomfield,Community,Populated Place,UNP,43.9855556,-77.2313889,Prince Edward,Ontario,1000000
FAKAA,Bloomfield Creek,Creek,Water Feature,RIV,43.951648,-77.289851,Prince Edward,Ontario,250000
FAKAB,Bloomfield Mill Pond,Pond,Water Feature,LAKE,43.987156,-77.22501,Prince Edward,Ontario,50000
FAKJJ,Bongard,Dispersed Rural Community,Populated Place,UNP,44.05126,-76.95769,Prince Edward,Ontario,250000
FAKJK,Bongard Corners,Dispersed Rural Community,Populated Place,UNP,44.05614,-76.92788,Prince Edward,Ontario,250000
FAKZE,Bowermans,Dispersed Rural Community,Populated Place,UNP,44.00847,-77.36464,Prince Edward,Ontario,250000
FALPD,Brick Kiln Point,Point,Terrain Feature,CAPE,44.0126,-77.1329,Prince Edward,Ontario,50000
FANFC,Burr,Dispersed Rural Community,Populated Place,UNP,44.0422223,-77.38,Prince Edward,Ontario,50000
FDJYV,Cat Island,Island,Terrain Feature,ISL,43.951032,-77.296281,Prince Edward,Ontario,50000
FDJWZ,Catalaque Shoal,Shoal,Terrain Feature,SHL,44.1458333,-77.0625,Prince Edward,Ontario,50000
FAPLR,Cedar Island,Island,Terrain Feature,ISL,44.144712,-77.328299,Prince Edward,Ontario,50000
FAPQC,Centre,Dispersed Rural Community,Populated Place,UNP,44.0813889,-77.4241667,Prince Edward,Ontario,50000
FAQJF,Cherry Valley,Compact Rural Community,Populated Place,UNP,43.93707,-77.15181,Prince Edward,Ontario,1000000
FAQOE,Chimney Point,Point,Terrain Feature,CAPE,44.016,-77.13196,Prince Edward,Ontario,50000
FASFI,Cole Point,Point,Terrain Feature,CAPE,44.1155555,-77.2883333,Prince Edward,Ontario,50000
FASFU,Cole Wharf,Locality,Populated Place,UNP,44.1422222,-77.0677778,Prince Edward,Ontario,50000
FASOR,Conger Shoal,Shoal,Terrain Feature,SHL,44.03312,-77.13233,Prince Edward,Ontario,50000
FASRX,Consecon,Compact Rural Community,Populated Place,UNP,43.99561,-77.52212,Prince Edward,Ontario,1000000
FASRY,Consecon Creek,Creek,Water Feature,RIV,44.015266,-77.421795,Prince Edward,Ontario,250000
FASRZ,Consecon Lake,Lake,Water Feature,LAKE,44.000826,-77.4778,Prince Edward,Ontario,1000000
FATNY,Cove Beach,Dispersed Rural Community,Populated Place,UNP,43.92169,-77.17764,Prince Edward,Ontario,250000
FATQD,Cow Island,Island,Terrain Feature,ISL,44.145449,-77.364044,Prince Edward,Ontario,50000
FATWL,Cranberry Island,Island,Terrain Feature,ISL,44,-77.5316667,Prince Edward,Ontario,50000
FAUFA,Cressy,Dispersed Rural Community,Populated Place,UNP,44.0911111,-76.8786111,Prince Edward,Ontario,250000
FAUFB,Cressy Creek,Creek,Water Feature,RIV,44.088334,-76.885416,Prince Edward,Ontario,50000
FAUFC,Cressy Island,Island,Terrain Feature,ISL,44.1436111,-77.3322222,Prince Edward,Ontario,50000
FAUFD,Cressy Marsh,Marsh,Feature Associated with Vegetation,VEGL,44.07689,-76.88846,Prince Edward,Ontario,50000
FAUFE,Cressy Point,Peninsula,Terrain Feature,CAPE,44.0911111,-76.8630555,Prince Edward,Ontario,250000
FAUHG,Crofton,Dispersed Rural Community,Populated Place,UNP,44.0686111,-77.3116666,Prince Edward,Ontario,250000
FAWIT,Demorestville,Compact Rural Community,Populated Place,UNP,44.09211,-77.20979,Prince Edward,Ontario,1000000
FAWIU,Demorestville Creek,Creek,Water Feature,RIV,44.094255,-77.256957,Prince Edward,Ontario,50000
FBBGV,East Lake,Lake,Water Feature,LAKE,43.920977,-77.197846,Prince Edward,Ontario,1000000
FBCIV,Elmbrook,Dispersed Rural Community,Populated Place,UNP,44.05585,-77.14155,Prince Edward,Ontario,250000
