ab-36861,The Snoozer on Bear Mountain ,House,Private room,7/2/10,8-2-18,Canada,55.75462532,-120.2348793,British Columbia,Dawson Creek,,,,CAD,,,0,0,,0,,,,1,3,5,10/4/12,,FALSE,,Moderate policy –  Free cancellation within 48 hours,,,,,,,383,1149,387,,,30,0,9,TRUE,,36861,159074,https://www.airbnb.com/rooms/36861,https://a0.muscache.com/im/pictures/208585/595d94f5_original.jpg?aki_policy=x_large,,,,
ab-15435078,Simplicity,Other,Private room,10/8/16,11-14-16,Canada,55.76587158,-120.2433305,British Columbia,Dawson Creek,,,,CAD,,,0,0,,0,,,,1,1.5,2,11/6/16,71,FALSE,,Strict,,,27,35,27,35,62,968,242,Anytime after 2PM,9AM,3,2,6,TRUE,5,15435078,45690477,https://www.airbnb.com/rooms/15435078,https://a2.muscache.com/im/pictures/288c2127-a3ae-40b7-8ee5-6e793e71934a.jpg,,,,
ab-16194041,4 Bedroom Executive Duplex,House,Entire home/apt,11/29/16,5-24-19,Canada,55.77872,-120.25341,British Columbia,Dawson Creek,,,,CAD,178.6,233.74,12859,16829,0.61,11,72,46,93,4,2.5,8,4/15/19,100,FALSE,,Moderate - Free cancellation for 48 hours,187,250,56,75,,,213,5019,1255,3PM - 10PM,,3,11,8,TRUE,4.9,16194041,65622115,https://www.airbnb.com/rooms/16194041,https://a0.muscache.com/im/pictures/5a4e0cf0-8e09-4f07-9098-9e1a911cb83c.jpg?aki_policy=x_large,,,,
ab-10636604,Room w/Ensuite Brand New Townhouse,Townhouse,Private room,1/15/16,5-25-19,Canada,56.26133,-120.85058,British Columbia,Fort St. John,,,,CAD,,,0,0,,0,,,,1,1,2,3/29/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,8,10,30,1061,265,8AM - 10PM,12PM (noon),5,10,12,TRUE,4.5,10636604,41835281,https://www.airbnb.com/rooms/10636604,https://a0.muscache.com/im/pictures/61df44ce-1c88-43a2-986f-5c62e2e7b51e.jpg?aki_policy=x_large,,,,
ab-10653252,Suite in the Peace,Guest suite,Private room,1/16/16,5-23-19,Canada,55.76878,-120.24546,British Columbia,Dawson Creek,,,,CAD,63.29,82.66,10000,13061,0.935,14,158,11,106,0,1,2,4/14/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,22,30,,,82,750,337,2PM - 10PM,12PM (noon),2,20,5,TRUE,4.8,10653252,17655873,https://www.airbnb.com/rooms/10653252,https://a0.muscache.com/im/pictures/beb62f13-26e9-402f-98e2-208592a77be1.jpg?aki_policy=x_large,,,,
ab-16202402,Basement Suite with private entrance,House,Private room,11/29/16,6-5-18,Canada,56.25808661,-120.8360575,British Columbia,Fort St. John,,,,CAD,48,60,864,1080,0.4,3,18,27,17,1,1,1,5/7/18,100,TRUE,,Flexible,,,,,,,47,1336,334,Flexible,,2,0,5,TRUE,,16202402,6746241,https://www.airbnb.com/rooms/16202402,https://a0.muscache.com/im/pictures/545f4b9c-1938-4f0c-9a97-0dc6eaca4d13.jpg?aki_policy=x_large,,,,
ab-17000792,Double bed,Private room in house,Private room,1/28/17,3-19-18,Canada,56.24396682,-120.8179258,British Columbia,Fort St. John,,,,CAD,,,0,0,,0,,,,1,1,1,2/21/18,60,FALSE,,flexible,,,,,,,32,870,217,Flexible,12AM (midnight),5,3,1,TRUE,5,17000792,73219384,https://www.airbnb.com/rooms/17000792,https://a0.muscache.com/im/pictures/2b804a7c-d280-486e-b201-acad0f8e4bc3.jpg?aki_policy=x_large,,,,
ab-14820526,Beautifully furnished 1 Bedroom suite,Townhouse,Entire home/apt,8/29/16,4-14-19,Canada,56.25147,-120.86419,British Columbia,Fort St. John,,,,CAD,48.1,63.8,6638,8804,0.573,17,138,103,0,1,1,1,4/1/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,45,1261,315,Flexible,12PM (noon),5,14,5,TRUE,4.8,14820526,64659381,https://www.airbnb.com/rooms/14820526,https://a0.muscache.com/im/pictures/75ed42ad-0256-411e-936d-cdd2f2720b91.jpg?aki_policy=x_large,,,,
ab-11555116,"Bright, comfy home in Matthews Park",House,Entire home/apt,2/26/16,5-23-19,Canada,56.23288,-120.82614,British Columbia,Fort St. John,,,,CAD,100.72,130.51,13697,17749,0.636,28,136,78,92,4,1.5,8,5/15/19,100,FALSE,,Moderate - Free cancellation for 48 hours,,,37,50,19,25,126,2500,625,After 11AM,11AM,2,52,6,TRUE,4.8,11555116,61016289,https://www.airbnb.com/rooms/11555116,https://a0.muscache.com/im/pictures/0c7ac95d-af7b-421a-952e-242f3bfe3a22.jpg?aki_policy=x_large,,,,
ab-19250750,Single bed in 2 bedroom house.,House,Private room,6/10/17,11-29-17,Canada,55.76584316,-120.2270739,British Columbia,Dawson Creek,,,,CAD,,,0,0,,0,,,,1,1,1,11/18/17,100,FALSE,,flexible,,,,,,,32,902,225,,,1,0,4,TRUE,,19250750,1192054,https://www.airbnb.com/rooms/19250750,https://a0.muscache.com/im/pictures/c3a6a0f3-3549-4a2e-8396-0bd1ac9f8b0c.jpg?aki_policy=x_large,,,,
ab-11199913,Comfy Rooms,House,Private room,2/9/16,10-18-16,Canada,55.75239768,-120.2470966,British Columbia,Dawson Creek,,,,CAD,,,0,0,,0,,,,1,1,1,10/2/16,71,FALSE,,Moderate,,,24,30,16,20,59,990,247,12PM (noon) - 5PM,11AM,2,2,5,TRUE,4.5,11199913,45690477,https://www.airbnb.com/rooms/11199913,https://a2.muscache.com/im/pictures/4395d6f3-9aea-433c-a71b-30a35be965c8.jpg,,,,
ab-18672696,Beautiful 3 bedroom and 2.5 bathroom duplex,Townhouse,Entire home/apt,5/9/17,5-20-19,Canada,56.25106,-120.86298,British Columbia,Fort St. John,,,,CAD,72.85,96.78,3934,5226,0.355,7,54,98,1,3,2.5,3,5/18/19,100,FALSE,,Flexible - Free cancellation for 48 hours,149,200,,,,,66,1859,465,After 3PM,,5,2,7,TRUE,5,18672696,64659381,https://www.airbnb.com/rooms/18672696,https://a0.muscache.com/im/pictures/ed39a41d-a51b-4b5a-96fc-64b34ac87b6e.jpg?aki_policy=x_large,,,,
ab-4041274,"""Your Home Away From Home""",House,Private room,9/2/14,5-24-19,Canada,55.77391,-120.25873,British Columbia,Dawson Creek,,,,CAD,72.01,95,7201,9500,0.472,11,100,112,0,1,1,2,10/29/18,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,15,20,72,2653,637,,11AM,3,17,3,TRUE,5,4041274,9407289,https://www.airbnb.com/rooms/4041274,https://a0.muscache.com/im/pictures/8f260975-d7ba-44f9-a150-96968c6acc35.jpg?aki_policy=x_large,,,,
ab-18690695,Your home away from home,House,Private room,5/10/17,1-26-19,Canada,56.23930098,-120.8176582,British Columbia,Fort St. John,,,,CAD,36.09,47.82,794,1052,0.512,5,22,21,16,1,1,2,6/15/17,100,FALSE,,Flexible - Free cancellation for 48 hours,,,8,10,8,10,41,1267,317,Flexible,12PM (noon),1,2,7,TRUE,5,18690695,120268378,https://www.airbnb.com/rooms/18690695,https://a0.muscache.com/im/pictures/8df616c2-7a5a-4b2d-a129-9e46c826dce9.jpg?aki_policy=x_large,,,,
ab-17078571,Tiny Home cute and quaint,House,Entire home/apt,2/1/17,7-26-17,Canada,56.23738844,-120.8076743,British Columbia,Fort St. John,,,,CAD,,,0,0,,0,,,,1,1,3,3/1/17,0,FALSE,,strict,412,500,58,70,,,115,1614,404,Flexible,12AM (midnight),7,1,5,TRUE,5,17078571,38253777,https://www.airbnb.com/rooms/17078571,https://a0.muscache.com/im/pictures/6a344b2e-9e7a-4986-af38-1af6183983c2.jpg?aki_policy=x_large,,,,
