Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-125636,Double Trouble room: 2 comfy double beds,Bed and breakfast,Private room,5/23/11,2011-05-23,12-1-18,2018-12-01,49.15402045,-125.9108112,125636,624364
ab-7482398,Forest Den at the Beach,Cabin,Entire home/apt,7/19/15,2015-07-19,2-23-17,2017-02-23,49.11626654,-125.8926501,7482398,9729555
ab-7483675,Solwood&#x27;s Ocean Path Beach House,House,Entire home/apt,7/20/15,2015-07-20,10-25-16,2016-10-25,49.11746556,-125.8927045,7483675,9729555
ab-18598927,"The Loon Room, Waterfront Guest House",Guest suite,Private room,5/5/17,2017-05-05,9-30-18,2018-09-30,49.1480788,-125.9145462,18598927,19074636
ab-7495694,"Tofino Luxury
371 Tonquin Park Road",House,Entire home/apt,7/20/15,2015-07-20,5-23-19,2019-05-23,49.14669,-125.89645,7495694,3475741
ab-19753546,Central Tofino 2 Bedroom Suite,Guest suite,Entire home/apt,7/6/17,2017-07-06,5-22-19,2019-05-22,49.15005,-125.90161,19753546,19877069
ab-10000439,Dancing Cedars Private,House,Entire home/apt,12/14/15,2015-12-14,4-29-19,2019-04-29,49.14913171,-125.8939198,10000439,51374293
ab-10001288,Dancing Cedars Private Room 1,House,Private room,12/14/15,2015-12-14,5-21-19,2019-05-21,49.14859,-125.89489,10001288,51374293
ab-209494,Modern Harbour View Home,House,Entire home/apt,8/27/11,2011-08-27,5-22-19,2019-05-22,49.14923,-125.89461,209494,1032468
ab-10086245,Dancing Cedars Private Room 2,House,Private room,12/19/15,2015-12-19,5-24-19,2019-05-24,49.14945,-125.89535,10086245,51374293
ab-10086394,Dancing Cedars Private Room 3,House,Private room,12/19/15,2015-12-19,5-23-19,2019-05-23,49.14954,-125.8935,10086394,51374293
ab-10102912,Private B,Entire house,Entire home/apt,12/20/15,2015-12-20,1-1-18,2018-01-01,49.15002162,-125.8946254,10102912,51374293
ab-15418928,Cable Cove Inn,Bed & Breakfast,Private room,10/7/16,2016-10-07,12-5-16,2016-12-05,49.15357525,-125.9100357,15418928,82713713
ab-7518980,Chesterman Beach Guest House,House,Entire home/apt,7/21/15,2015-07-21,10-29-18,2018-10-29,49.12305872,-125.8935965,7518980,7434361
ab-7518982,Chesterman Beach Guest House #2,Apartment,Entire home/apt,7/21/15,2015-07-21,12-17-16,2016-12-17,49.12143983,-125.8928765,7518982,7434361
ab-3890303,Cedar Surf - Rainforest Paradise,House,Entire home/apt,12/5/16,2016-12-05,5-24-19,2019-05-24,49.13447,-125.89248,3890303,9425739
ab-1919844,Bright & modern private room- Queen,Bed & Breakfast,Private room,11/10/13,2013-11-10,12-19-16,2016-12-19,49.14916439,-125.9003439,1919844,9952487
ab-10254784,Maris - New Tofino Waterfront Suite,Apartment,Entire home/apt,12/29/15,2015-12-29,3-25-19,2019-03-25,49.15418,-125.90638,10254784,2118559
ab-1920505,Spacious room with king bed & view,Guesthouse,Private room,11/10/13,2013-11-10,12-19-16,2016-12-19,49.14827979,-125.9006208,1920505,9952487
ab-1948238,Ocean Front Condo Downtown Tofino,Condominium,Entire home/apt,11/16/13,2013-11-16,5-22-19,2019-05-22,49.15384,-125.90906,1948238,8813504
ab-1949715,1 BedR Loft Style Ocean Front Apt,Loft,Entire home/apt,11/16/13,2013-11-16,5-23-19,2019-05-23,49.15303,-125.90937,1949715,8813504
ab-12684745,Pacific Paradise - Silver Streak,Camper/RV,Entire home/apt,4/25/16,2016-04-25,1-19-19,2019-01-19,49.11122566,-125.8775119,12684745,32545687
ab-3912404,Green Cedar Retreat: Queen Suite+Hot Tub,House,Private room,8/18/14,2014-08-18,5-22-19,2019-05-22,49.13173,-125.89495,3912404,16832599
ab-3923932,Summerhill Guest House Sunset Suite,Apartment,Entire home/apt,8/20/14,2014-08-20,5-24-19,2019-05-24,49.13063,-125.8921,3923932,18066903
ab-17857379,CB Suite Tofino,House,Entire home/apt,3/21/17,2017-03-21,10-21-17,2017-10-21,49.12320837,-125.8902786,17857379,30504477
ab-3930424,Cozy cabin for two in Tofino,Cabin,Entire home/apt,8/20/14,2014-08-20,11-28-17,2017-11-28,49.13439329,-125.891893,3930424,8095758
ab-2028450,Beautiful 4Pr Ocean Front Condo ,Apartment,Entire home/apt,12/3/13,2013-12-03,5-23-19,2019-05-23,49.15446,-125.90888,2028450,8813504
ab-11459834,Tranquil Accommodations Tofino,House,Entire home/apt,2/22/16,2016-02-22,5-24-19,2019-05-24,49.11237,-125.87436,11459834,29537227
ab-7557771,Sand Dollar - Recreation Room,Guest suite,Entire home/apt,9/6/17,2017-09-06,5-23-19,2019-05-23,49.14818,-125.89807,7557771,31104397
