ab-19315250,Glamping at Valens Lake,Camper/RV,Entire home/apt,6/13/17,5-21-19,Canada,43.34139,-80.38449,Ontario,Township of North Dumfries,,,,CAD,52.64,68,2369,3060,0.263,14,45,126,13,0,0,3,5/19/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,51,1432,358,After 3PM,12PM (noon),2,4,8,TRUE,5,19315250,101830643,https://www.airbnb.com/rooms/19315250,https://a0.muscache.com/im/pictures/302c3324-37f6-46d5-b109-3ecc1c515180.jpg?aki_policy=x_large,,,,
ab-20640930,Get away,House,Entire home/apt,8/24/17,12-26-18,Canada,43.28949546,-80.45496218,Ontario,Township of North Dumfries,,,,CAD,126.38,166.8,11627,15345,0.786,25,92,25,64,3,1.5,5,12/1/18,100,TRUE,,Strict - Free cancellation for 48 hours,225,300,75,100,15,20,187,2201,550,After 3PM,10AM,2,19,25,TRUE,5,20640930,5558577,https://www.airbnb.com/rooms/20640930,https://a0.muscache.com/im/pictures/2284f920-6b46-4efc-8527-7927aa8e9031.jpg?aki_policy=x_large,,,,
ab-20775245,Hospitality,House,Private room,9/1/17,4-17-18,Canada,43.28959615,-80.45430287,Ontario,Township of North Dumfries,,,,CAD,46.7,57.08,841,1027,0.295,1,18,43,0,1,1.5,2,11/13/17,100,TRUE,,Moderate,,,20,25,28,,64,1235,309,After 3PM,11AM,1,0,10,TRUE,,20775245,5558577,https://www.airbnb.com/rooms/20775245,https://a0.muscache.com/im/pictures/6d2ea0a6-b729-4d71-bc34-a4a75df3c45e.jpg?aki_policy=x_large,,,,
ab-15654998,Private apartment in a century home in the country,Apartment,Entire home/apt,10/22/16,5-21-19,Canada,43.35707,-80.25115,Ontario,Township of North Dumfries,,,,CAD,76.03,99.34,18551,24240,0.816,83,244,55,66,2,1,4,4/23/19,100,TRUE,,Moderate - Free cancellation for 48 hours,,,,,19,25,74,2070,518,3PM - 10PM,12PM (noon),1,121,27,TRUE,5,15654998,101042095,https://www.airbnb.com/rooms/15654998,https://a0.muscache.com/im/pictures/5d23d766-d09d-422f-8b5b-fab4d4e2480e.jpg?aki_policy=x_large,,,,
ab-7871581,Beautiful Private Country Setting near the city,House,Entire home/apt,7/28/18,5-22-19,Canada,43.36592,-80.43362,Ontario,Township of North Dumfries,,,,CAD,307.27,407.28,74667,98969,0.935,76,243,17,13,4,3,7,4/28/19,100,FALSE,,Strict - Free cancellation for 48 hours,380,500,133,175,11,15,433,7602,1901,After 3PM,11AM,1,28,83,TRUE,5,7871581,41486396,https://www.airbnb.com/rooms/7871581,https://a0.muscache.com/im/pictures/101451151/4797b215_original.jpg?aki_policy=x_large,,,,
ab-15020218,"Private apartment, cozy & comfortable",Apartment,Entire home/apt,9/11/16,5-22-19,Canada,43.285,-80.44975,Ontario,Township of North Dumfries,,,,CAD,,,0,0,,0,,,,1,1,2,3/26/19,50,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,56,1567,392,After 3PM,,4,0,6,TRUE,,15020218,94805122,https://www.airbnb.com/rooms/15020218,https://a0.muscache.com/im/pictures/2ff4c8de-c342-48bc-bee3-b406f4d22f6a.jpg?aki_policy=x_large,,,,
ab-18886990,Bright open ground floor apartment,Apartment,Entire home/apt,5/21/17,7-10-17,Canada,43.28792433,-80.45170826,Ontario,Township of North Dumfries,,,,USD,,,0,0,,0,,,,1,1.5,4,,100,FALSE,,moderate,,,10,10,,,103,2596,649,Anytime after 12PM (noon),12PM (noon),1,3,7,TRUE,4.3,18886990,12649555,https://www.airbnb.com/rooms/18886990,https://a0.muscache.com/im/pictures/e4cfc666-b21e-4204-b482-b18aa1e4f476.jpg?aki_policy=x_large,,,,
ab-15123874,2 BEDROOM CONDO SHORT TERM,Apartment,Entire home/apt,9/18/16,1-22-19,Canada,43.2996721,-80.42685484,Ontario,Township of North Dumfries,,,,USD,150,150,750,750,0.041,5,5,117,1,1,1,4,9/28/18,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,150,4200,1050,,,1,0,9,TRUE,,15123874,1411082,https://www.airbnb.com/rooms/15123874,https://a0.muscache.com/im/pictures/860a4136-7069-4510-8f84-680f22da870c.jpg?aki_policy=x_large,,,,
ab-32761523,"The Hawks Nest 
Country home on the river",House,Entire home/apt,3/27/19,5-21-19,Canada,43.28559,-80.46411,Ontario,Township of North Dumfries,,,,CAD,100.44,134.78,1808,2426,0.295,6,18,43,0,3,3,6,5/8/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,74,4182,1046,After 3PM,10AM,1,3,15,TRUE,4.7,32761523,164666935,https://www.airbnb.com/rooms/32761523,https://a0.muscache.com/im/pictures/4680d3bd-5085-42ca-8013-b44bebfc4d56.jpg?aki_policy=x_large,,,,
ab-33980225,Executive Private House!,House,Entire home/apt,4/19/19,5-24-19,Canada,43.27951,-80.43932,Ontario,Township of North Dumfries,,,,CAD,223,299,2007,2691,0.3,1,9,21,0,3,2.5,6,4/18/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,,,,1PM - 8PM,,5,0,35,TRUE,,33980225,36578771,https://www.airbnb.com/rooms/33980225,https://a0.muscache.com/im/pictures/f2de7074-5152-4651-93aa-64e22d084d9a.jpg?aki_policy=x_large,,,,
