ab-10458,Whistler Ski Resort Condo,Entire apartment,Entire home/apt,9/5/09,3-19-18,Canada,50.12143208,-122.9586629,British Columbia,Whistler,,,,CAD,,,0,0,,0,,,,1,1,4,3/6/18,25,FALSE,,strict,,,60,75,,,325,7444,1861,After 4PM,11AM,2,82,15,TRUE,4.7,10458,30033,https://www.airbnb.com/rooms/10458,https://a0.muscache.com/im/pictures/43643/2a6fc1dc_original.jpg?aki_policy=x_large,,,,
ab-15878,Luxury Whistler Village Town Home by the Village,Townhouse,Entire home/apt,12/13/09,5-21-19,Canada,50.11927,-122.95899,British Columbia,Whistler,,,,CAD,508.52,676.43,45258,60202,0.392,23,89,138,46,2,2,6,5/8/19,100,FALSE,,Moderate - Free cancellation for 48 hours,112,150,97,129,,,438,2996,899,After 3PM,10AM,4,34,21,TRUE,4.9,15878,62115,https://www.airbnb.com/rooms/15878,https://a0.muscache.com/im/pictures/e16bb9d5-056a-44b4-9f0b-153ab51e32e4.jpg?aki_policy=x_large,,,,
ab-17178,2 bedrm townhome- Heart o' Whistler,House,Entire home/apt,12/30/09,8-1-18,Canada,50.11859644,-122.9574391,British Columbia,Whistler,,,,CAD,199.03,256.22,16122,20754,0.349,15,81,151,14,2,2,4,4/23/18,100,FALSE,,Strict policy  –  Free cancellation within 48 hours,575,750,123,160,8,10,266,4014,1003,After 4PM,10AM,381,51,32,TRUE,4.7,17178,66580,https://www.airbnb.com/rooms/17178,https://a0.muscache.com/im/pictures/a8bdb6b6-2638-4df5-94cf-4fd793784210.jpg?aki_policy=x_large,,,,
ab-18389,Alpine Whistler Vacation Rental in the Village,Apartment,Entire home/apt,1/12/10,5-24-19,Canada,50.11776,-122.95801,British Columbia,Whistler,,,,CAD,132.51,173.18,29682,38791,0.709,29,224,92,21,0,1,2,5/24/19,100,FALSE,,Strict - Free cancellation for 48 hours,744,1000,60,80,19,25,177,1154,484,3PM - 5PM,10AM,7,40,31,TRUE,4.8,18389,70868,https://www.airbnb.com/rooms/18389,https://a0.muscache.com/im/pictures/c20e0f0b-5483-41ff-b108-8f0129b50ffc.jpg?aki_policy=x_large,,,,
ab-18483,Whistler Creekside Skiers/Bikers Townhouse,Townhouse,Entire home/apt,1/13/10,5-22-19,Canada,50.09801,-122.98589,British Columbia,Whistler,,,,CAD,313.64,414.58,11291,14925,0.265,6,36,100,15,2,1.5,6,5/22/19,50,FALSE,,Strict - Free cancellation for 48 hours,372,500,,,,,223,2969,856,After 4PM,10AM,5,48,24,TRUE,4.8,18483,71182,https://www.airbnb.com/rooms/18483,https://a0.muscache.com/im/pictures/c0f3c5ef-d9d5-4494-9565-6404a4a9e814.jpg?aki_policy=x_large,,,,
ab-20633,"Luxury townhome, Walk to everything",Apartment,Entire home/apt,2/6/10,5-23-19,Canada,50.12156,-122.95444,British Columbia,Whistler,,,,CAD,262.43,344.79,39889,52409,0.487,28,152,160,22,1,1,4,5/18/19,100,FALSE,FALSE,Strict - Free cancellation for 48 hours,,,,,,,187,5248,1312,After 4PM,11AM,3,83,27,TRUE,4.8,20633,77624,https://www.airbnb.com/rooms/20633,https://a0.muscache.com/im/pictures/106619/9d43b82f_original.jpg?aki_policy=x_large,108854vb,,https://www.homeaway.com/vacation-rental/p108854vb,https://odis.homeaway.com/odis/listing/97f76f77-6882-4e04-9c52-558bed9e7668.c10.jpg
ab-61742,Mountain/Lakeview Cabin - up to 12,House,Entire home/apt,11/24/10,8-17-17,Canada,50.11124413,-122.9742805,British Columbia,Whistler,,,,CAD,,,0,0,,0,,,,6,2.5,12,8/4/17,100,FALSE,,moderate,,,164,200,,,695,8183,3560,Anytime after 5PM,11AM,28,48,21,TRUE,4.8,61742,299349,https://www.airbnb.com/rooms/61742,https://a0.muscache.com/im/pictures/4320374/d5afd0f0_original.jpg?aki_policy=x_large,,,,
ab-6520686,WHISTLER PH 406~Ski-In/Ski-Out~Aspens on Blackcomb,Condominium,Entire home/apt,5/22/15,5-22-19,Canada,50.11634,-122.94507,British Columbia,Whistler,,,,USD,347.24,347.24,17709,17709,0.259,14,51,146,16,1,1,4,4/30/19,80,TRUE,,Strict - Free cancellation for 48 hours,1500,1500,100,100,,,325,2200,1100,After 4PM,10AM,3,46,26,TRUE,4.8,6520686,23468733,https://www.airbnb.com/rooms/6520686,https://a0.muscache.com/im/pictures/82026858/153bebac_original.jpg?aki_policy=x_large,,,,
ab-130828,Spacious Whistler Village Studio ,Apartment,Entire home/apt,5/29/11,12-30-16,Canada,50.11766775,-122.9577093,British Columbia,Whistler,,,,USD,,,0,0,,0,,,,1,1,4,6/11/16,100,FALSE,,Moderate,309,309,62,62,15,15,175,2060,824,Anytime after 4PM,10AM,2,91,22,TRUE,4.7,130828,643862,https://www.airbnb.com/rooms/130828,https://a2.muscache.com/im/pictures/833827/6bf36a60_original.jpg,,,,
ab-140424,Glaciers Reach ~ 2BD Village Condo w/Hot Tub,Apartment,Entire home/apt,6/9/11,5-24-19,Canada,50.1217,-122.95889,British Columbia,Whistler,,,,CAD,292.31,385.81,48232,63658,0.525,45,165,149,51,2,2,6,5/15/19,100,FALSE,,Super Strict 30 days,570,750,72,95,17,22,246,4875,1219,After 4PM,10AM,2,41,31,TRUE,4.7,140424,683972,https://www.airbnb.com/rooms/140424,https://a0.muscache.com/im/pictures/3079562/78be551d_original.jpg?aki_policy=x_large,,,,
